Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Sleep_Hours,Motivation_Level,Teacher_Quality,School_Type,Internet_Access,Family_Income,Parental_Involvement,Parental_Education_Level,Distance_from_Home,Physical_Activity,Peer_Influence,Access_to_Resources,Extracurricular_Activities,Health,Study_Environment,Exam_Score,Score_Range,Parent_Edu_mapped,Motivation_mapped
Low,6,2,2,5,1,1,1,1,0,1,1,27,4,1,0,0,3,2,8,0,College,Medium
High,2,68,1,6,2,1,1,0,0,2,0,17,2,2,2,0,4,0,43,2,School,High
Low,57,13,0,0,1,0,1,1,2,1,1,9,4,2,2,1,2,0,14,0,College,Medium
High,31,25,3,3,0,1,0,1,2,2,0,12,6,0,0,0,0,1,42,2,School,Low
Low,30,69,3,2,2,1,1,0,1,0,2,14,3,1,0,1,4,1,46,2,Higher,High
High,17,57,0,4,2,1,1,1,1,1,1,3,5,1,1,1,0,2,44,2,College,High
Medium,42,39,3,6,0,0,1,1,2,2,2,6,1,2,0,1,0,1,41,2,Higher,Low
High,6,50,4,6,2,0,1,0,2,2,0,15,0,0,1,0,1,0,38,1,School,High
High,40,4,4,5,2,0,1,1,0,0,1,1,0,0,1,1,0,0,24,1,College,High
Medium,0,31,4,1,2,2,1,1,2,2,1,17,5,2,0,0,4,0,17,0,College,High
Low,13,0,2,5,0,0,1,1,0,1,2,23,4,0,0,0,4,0,1,0,Higher,Low
Medium,51,53,0,2,1,0,1,1,2,1,2,24,3,2,0,0,2,0,44,2,Higher,Medium
High,31,10,4,5,1,0,0,1,1,2,0,21,4,1,1,0,2,1,22,1,School,Medium
High,5,52,1,1,0,2,1,1,0,1,2,7,1,0,1,1,0,2,31,1,Higher,Low
High,38,7,4,6,0,1,1,1,1,1,1,16,2,0,1,1,3,1,38,1,College,Low
High,9,24,2,3,0,0,1,1,0,2,1,20,0,0,1,1,4,1,25,1,College,Low
Low,6,39,1,5,1,0,0,1,0,0,1,24,4,2,1,0,0,2,15,0,College,Medium
High,25,31,0,4,0,1,1,1,1,0,1,27,3,1,0,1,2,1,42,2,College,Low
Medium,33,27,0,3,1,0,0,0,1,1,0,2,5,0,1,0,4,2,31,1,School,Medium
High,29,2,4,1,0,2,1,1,2,2,2,23,6,1,0,0,1,0,19,0,Higher,Low
High,35,61,1,0,2,1,1,0,0,1,0,22,6,1,1,0,2,0,48,2,School,High
Low,20,26,1,5,1,0,1,1,2,1,2,14,0,0,1,0,1,0,14,0,Higher,Medium
High,59,44,4,6,1,1,1,1,0,2,0,4,0,1,0,1,4,0,48,2,School,Medium
High,16,24,4,6,0,0,0,1,2,0,2,14,2,2,2,1,3,0,32,1,Higher,Low
High,32,60,3,3,2,0,0,0,1,1,2,13,4,2,2,0,0,2,49,2,Higher,High
Low,9,43,3,5,1,1,1,1,1,0,1,13,2,2,1,1,0,1,26,1,College,Medium
Low,50,45,4,4,0,0,1,1,2,1,2,10,3,1,0,1,3,2,33,1,Higher,Low
High,46,13,2,5,2,0,1,1,1,2,0,28,3,2,2,1,0,2,36,1,School,High
Low,41,7,3,3,1,1,1,1,2,2,1,20,4,0,2,1,0,2,19,0,College,Medium
Low,50,47,4,2,0,0,0,0,0,0,2,12,0,1,0,0,1,2,35,1,Higher,Low
Low,11,13,1,3,2,0,1,1,0,1,1,22,1,2,2,0,0,2,4,0,College,High
High,55,64,3,1,1,1,0,0,1,2,1,8,2,2,1,1,1,0,55,3,College,Medium
Medium,15,6,2,3,1,2,0,1,1,1,1,20,6,2,1,0,0,1,4,0,College,Medium
High,40,48,0,6,2,2,0,1,1,1,0,1,0,2,1,1,0,0,45,2,School,High
Medium,31,54,1,4,0,2,1,0,0,0,0,11,5,0,2,1,2,2,42,2,School,Low
High,14,12,2,3,0,2,1,0,2,1,2,7,3,2,0,0,3,1,17,0,Higher,Low
High,26,55,2,3,2,2,0,1,1,1,1,16,6,0,0,0,2,2,44,2,College,High
Medium,27,55,2,4,1,2,0,0,2,0,2,14,3,1,1,1,0,0,39,1,Higher,Medium
High,16,14,1,3,2,1,0,1,1,2,0,16,0,0,1,1,1,0,23,1,School,High
High,45,56,2,6,2,1,1,1,1,1,1,5,0,2,1,1,0,2,53,3,College,High
Low,58,57,0,4,2,1,1,1,1,1,0,20,5,2,1,0,4,1,47,2,School,High
Low,49,34,3,6,1,0,0,0,2,2,1,5,3,1,2,0,4,2,24,1,College,Medium
Medium,57,15,1,6,2,2,1,0,2,0,1,2,2,0,1,0,4,1,33,1,College,High
Medium,1,7,2,6,2,2,1,1,2,2,1,8,2,2,2,0,4,2,15,0,College,High
High,35,44,4,1,1,1,1,1,0,1,2,19,0,0,1,1,0,1,41,2,Higher,Medium
Medium,49,39,3,4,1,0,0,1,0,1,0,2,4,2,0,1,4,2,34,1,School,Medium
Low,6,53,1,1,2,0,1,0,0,0,0,21,3,1,2,0,3,0,19,0,School,High
High,12,13,4,1,0,1,1,0,2,0,0,6,1,0,0,0,0,2,22,1,School,Low
Medium,14,58,4,4,2,2,0,1,0,2,1,13,3,2,0,1,2,1,39,1,College,High
High,24,52,2,3,1,0,0,1,1,0,0,22,2,1,0,1,0,1,48,2,School,Medium
Low,22,26,1,5,1,2,1,0,2,2,2,14,2,2,1,0,1,0,18,0,Higher,Medium
Low,59,46,2,2,1,0,0,0,1,2,2,23,1,2,0,1,3,1,37,1,Higher,Medium
Low,21,5,0,5,0,2,0,0,1,1,2,25,2,1,0,1,0,1,10,0,Higher,Low
Medium,25,54,4,6,1,0,1,0,2,2,0,2,1,0,0,1,2,1,36,1,School,Medium
Low,32,43,0,4,0,2,0,1,1,2,1,4,2,0,2,1,1,0,32,1,College,Low
Low,10,17,2,3,1,2,0,0,2,0,2,4,5,1,1,1,1,2,6,0,Higher,Medium
Medium,9,15,3,1,1,2,1,0,0,0,2,19,1,1,0,1,2,0,7,0,Higher,Medium
High,24,11,4,0,2,1,1,1,2,1,0,14,4,1,1,1,2,0,21,1,School,High
Medium,36,19,3,2,0,2,1,0,2,1,0,9,3,1,2,1,2,2,30,1,School,Low
Medium,47,44,1,5,2,2,0,0,1,1,2,8,2,0,1,1,2,1,42,2,Higher,High
High,42,63,4,3,0,0,1,1,1,2,1,14,0,1,0,0,4,2,55,3,College,Low
High,52,58,0,6,1,0,0,1,1,0,0,16,1,1,1,0,3,0,55,3,School,Medium
High,37,21,3,2,1,1,1,1,1,2,2,8,1,0,1,1,2,2,39,1,Higher,Medium
High,40,46,1,6,0,0,1,1,1,1,1,5,1,2,1,0,4,0,45,2,College,Low
Low,44,28,4,0,2,2,0,0,1,0,1,14,2,2,1,1,0,2,20,0,College,High
Medium,23,44,1,0,0,1,0,1,1,2,1,3,3,0,1,1,1,0,36,1,College,Low
Low,39,8,0,0,0,1,1,1,1,0,1,20,0,0,2,1,0,1,15,0,College,Low
Low,45,23,4,5,0,0,0,0,1,2,1,14,1,0,0,1,0,2,29,1,College,Low
Low,55,14,1,6,1,2,1,1,2,1,1,18,6,0,1,0,4,2,22,1,College,Medium
Medium,32,35,2,4,0,2,0,1,1,2,0,16,1,1,1,1,4,2,34,1,School,Low
Medium,16,12,4,2,1,0,1,1,1,2,1,24,1,1,0,1,2,1,17,0,College,Medium
Medium,23,43,4,4,2,0,1,0,2,1,0,28,5,0,0,0,2,2,31,1,School,High
High,36,35,4,6,1,0,0,0,0,1,0,6,1,2,0,0,4,2,38,1,School,Medium
Low,56,60,4,0,2,1,1,0,0,2,1,13,0,2,0,1,3,2,43,2,College,High
Medium,1,39,2,3,2,2,1,0,2,2,2,23,1,0,1,0,2,0,23,1,Higher,High
High,31,26,0,0,2,0,0,1,0,2,1,17,5,0,0,1,0,0,33,1,College,High
Low,56,0,2,4,1,0,0,0,1,1,0,7,0,2,2,0,2,2,19,0,School,Medium
Medium,59,33,2,0,0,1,1,0,1,1,1,10,0,2,1,1,2,1,49,2,College,Low
Low,23,67,1,6,1,2,0,1,1,1,1,17,1,1,2,1,3,0,36,1,College,Medium
High,8,20,3,0,2,2,1,0,0,0,1,13,4,2,0,1,4,1,23,1,College,High
High,3,32,3,4,0,1,1,0,2,0,0,8,0,2,2,1,3,1,27,1,School,Low
Medium,16,6,1,4,1,0,0,0,1,1,0,5,4,2,1,1,2,1,9,0,School,Medium
Medium,16,64,2,6,2,2,1,0,2,0,0,7,0,2,1,1,3,2,43,2,School,High
Low,52,2,1,3,2,2,1,0,2,0,2,17,5,1,1,1,2,1,12,0,Higher,High
High,49,50,4,4,0,1,1,1,1,2,0,22,6,1,1,0,3,1,55,3,School,Low
High,47,53,1,6,1,2,1,1,2,2,0,12,2,1,2,0,1,1,49,2,School,Medium
Medium,29,58,1,3,0,2,1,1,2,2,2,12,1,2,1,0,1,2,44,2,Higher,Low
High,39,5,4,1,0,2,0,0,1,0,1,17,2,1,1,1,2,0,24,1,College,Low
Medium,57,28,3,6,0,1,0,1,2,0,2,14,0,0,1,0,3,0,45,2,Higher,Low
Low,10,16,4,1,0,2,1,1,0,2,0,1,2,1,0,0,2,1,5,0,School,Low
Low,20,59,0,4,1,1,0,0,1,2,2,18,1,2,2,1,3,0,29,1,Higher,Medium
High,20,21,1,0,0,0,0,1,1,1,1,3,6,2,0,1,4,2,28,1,College,Low
High,17,23,1,2,2,0,0,1,1,0,2,6,1,0,1,0,3,2,27,1,Higher,High
High,54,50,3,0,2,1,0,0,1,2,2,14,6,1,0,0,3,2,51,3,Higher,High
Low,28,49,2,4,2,0,1,1,1,2,2,16,0,0,1,0,2,0,34,1,Higher,High
High,23,10,4,3,0,2,0,1,1,2,0,19,0,2,0,0,3,1,25,1,School,Low
Low,9,55,2,6,2,1,0,0,1,0,2,15,4,1,1,0,2,1,31,1,Higher,High
Medium,44,41,0,0,1,0,0,0,0,2,0,23,3,1,1,1,2,1,32,1,School,Medium
Medium,16,38,4,1,0,0,0,0,2,2,0,25,6,1,1,0,0,0,23,1,School,Low
High,17,68,0,5,0,0,0,0,0,2,1,13,6,0,0,0,2,1,48,2,College,Low
High,41,47,0,4,0,0,0,0,2,2,2,12,2,2,1,0,3,0,55,3,Higher,Low
High,47,56,0,0,1,1,1,0,1,2,2,20,4,1,0,1,1,0,48,2,Higher,Medium
Medium,19,20,4,5,0,1,0,0,0,1,0,6,6,0,1,1,4,1,17,0,School,Low
Low,36,19,4,0,0,0,0,1,1,2,0,15,2,0,2,0,3,2,21,1,School,Low
Low,44,14,3,3,2,0,0,0,2,1,1,0,1,1,1,1,3,1,19,0,College,High
High,17,68,1,3,2,0,0,0,0,0,1,1,0,0,2,0,3,2,45,2,College,High
High,16,50,2,3,0,0,1,1,0,0,2,24,2,2,1,1,0,2,41,2,Higher,Low
High,8,61,2,5,1,0,1,0,2,0,0,2,3,1,1,1,1,2,48,2,School,Medium
Medium,13,36,0,2,2,1,0,0,2,0,0,21,1,0,1,1,3,0,26,1,School,High
High,48,5,4,5,0,0,0,0,0,0,1,24,5,0,1,1,2,0,29,1,College,Low
High,28,25,4,4,2,0,0,1,0,2,0,4,1,1,1,0,1,2,33,1,School,High
Low,30,7,0,4,2,2,0,1,0,2,2,16,4,0,0,0,1,2,14,0,Higher,High
Low,3,3,1,1,1,1,1,1,2,0,0,28,3,2,0,1,3,2,2,0,School,Medium
Low,17,20,2,1,0,0,0,1,1,2,2,17,1,0,0,1,2,1,13,0,Higher,Low
High,58,30,3,4,2,1,1,0,0,1,0,29,3,2,2,1,1,2,47,2,School,High
Low,19,20,1,0,0,2,1,1,2,1,0,18,0,1,1,1,4,0,13,0,School,Low
Medium,55,24,4,4,1,2,0,1,0,2,2,26,5,1,1,1,2,2,37,1,Higher,Medium
Low,55,14,0,6,1,0,0,1,2,0,1,16,6,0,1,0,1,1,29,1,College,Medium
Low,46,34,2,2,2,0,1,0,0,0,0,10,3,2,2,0,1,1,34,1,School,High
Low,42,48,0,1,1,0,0,1,2,1,1,2,4,0,2,1,2,2,30,1,College,Medium
Medium,43,42,4,1,2,0,1,0,2,2,0,9,4,2,2,0,0,2,30,1,School,High
Low,8,40,0,6,0,2,0,0,0,1,2,14,2,1,2,1,2,1,22,1,Higher,Low
High,12,36,2,6,2,1,0,0,2,2,0,16,5,1,0,1,4,2,30,1,School,High
Low,14,56,0,5,2,0,0,1,2,0,0,8,0,1,2,1,0,1,21,1,School,High
High,26,41,2,6,1,1,0,0,2,1,2,21,0,1,2,1,3,1,47,2,Higher,Medium
Low,14,46,0,1,0,0,1,0,2,2,0,0,3,2,2,0,0,0,15,0,School,Low
Low,27,60,0,4,0,0,0,1,2,0,2,10,4,2,2,0,4,2,37,1,Higher,Low
Low,36,13,2,1,2,2,0,1,2,2,1,10,4,0,0,1,4,0,6,0,College,High
Medium,54,67,0,6,0,0,0,0,2,0,0,27,4,0,1,0,4,0,55,3,School,Low
Medium,18,52,1,6,0,0,1,0,2,2,1,12,6,0,2,0,1,2,39,1,College,Low
Medium,25,33,3,6,2,0,0,0,0,1,0,28,0,0,0,1,0,0,23,1,School,High
Low,51,23,1,1,2,2,1,0,2,2,1,7,4,0,0,1,4,0,24,1,College,High
Low,25,19,3,6,0,1,1,0,1,1,0,19,2,0,0,1,0,0,17,0,School,Low
Low,24,68,1,5,2,2,0,1,0,1,2,27,1,1,1,0,0,1,38,1,Higher,High
Low,25,29,3,4,1,0,1,0,0,1,0,8,4,2,2,0,3,0,19,0,School,Medium
Medium,25,6,0,0,0,0,0,0,1,0,2,14,2,0,1,0,3,1,12,0,Higher,Low
High,45,35,2,6,2,0,0,1,2,1,0,28,2,2,0,1,3,2,43,2,School,High
Medium,27,37,2,1,0,0,0,0,1,1,1,14,1,1,1,0,1,1,33,1,College,Low
Medium,48,51,4,1,0,1,1,0,1,1,0,3,0,2,0,1,1,2,48,2,School,Low
Low,17,14,3,6,1,0,1,0,1,0,0,28,4,1,0,1,3,2,17,0,School,Medium
Medium,31,45,4,1,1,0,1,1,0,2,2,28,5,2,2,1,4,0,37,1,Higher,Medium
High,52,22,4,6,0,1,0,0,2,0,0,8,2,1,0,0,2,2,47,2,School,Low
High,2,11,3,2,1,2,0,1,0,0,1,27,2,1,1,0,1,1,8,0,College,Medium
High,1,43,2,4,2,2,1,1,2,2,0,25,6,1,1,1,2,1,28,1,School,High
Low,32,14,3,6,0,1,1,1,1,2,1,15,1,1,0,0,1,0,25,1,College,Low
Medium,41,48,0,1,1,1,0,0,0,1,2,18,5,0,2,1,0,0,41,2,Higher,Medium
High,18,20,4,2,0,0,1,1,2,1,2,26,2,0,1,0,4,0,28,1,Higher,Low
Medium,16,14,4,0,0,1,0,0,2,2,0,22,4,1,2,1,1,2,18,0,School,Low
Low,43,13,3,0,2,1,0,0,1,2,1,27,0,2,2,0,0,2,22,1,College,High
Low,32,41,4,5,2,0,1,1,0,0,2,3,2,2,2,0,4,2,26,1,Higher,High
Medium,11,14,2,6,2,0,0,0,0,0,2,14,0,0,2,0,1,2,23,1,Higher,High
Medium,48,62,4,5,1,0,0,1,0,0,0,26,2,2,0,0,4,0,54,3,School,Medium
High,55,67,3,5,1,2,1,1,0,2,1,16,2,1,0,1,1,2,55,3,College,Medium
Low,2,26,2,2,1,2,1,0,0,1,2,5,4,1,0,0,3,1,8,0,Higher,Medium
High,42,52,2,0,2,2,1,0,0,0,2,14,0,2,2,0,1,1,49,2,Higher,High
High,48,51,4,5,0,0,0,0,0,0,0,11,5,0,1,0,1,0,55,3,School,Low
Medium,54,62,3,3,2,2,0,0,1,2,0,15,3,0,1,1,0,0,47,2,School,High
Low,25,52,4,5,1,2,1,0,2,0,0,15,4,2,0,1,3,1,29,1,School,Medium
Low,34,56,0,0,1,0,0,1,1,2,2,14,0,0,1,0,2,2,35,1,Higher,Medium
High,7,51,0,3,1,0,1,0,2,1,2,16,0,2,0,1,4,2,33,1,Higher,Medium
Low,51,42,2,2,2,2,0,0,2,0,0,13,0,2,2,0,2,0,34,1,School,High
Low,35,6,4,6,1,2,0,0,2,0,0,7,6,0,0,1,2,0,14,0,School,Medium
High,52,41,0,6,2,2,0,1,0,0,2,25,3,2,1,1,3,1,52,3,Higher,High
Low,53,3,1,3,0,1,0,1,0,2,1,28,4,0,0,0,3,1,21,1,College,Low
Low,6,68,0,0,2,0,0,1,2,2,1,25,6,1,0,0,3,0,31,1,College,High
Low,45,4,4,1,1,0,1,0,2,1,2,1,3,1,1,0,0,2,15,0,Higher,Medium
Medium,45,40,4,3,0,0,1,1,0,2,2,15,2,0,0,1,0,1,41,2,Higher,Low
Low,35,3,0,0,1,0,0,1,0,0,2,14,1,2,0,0,4,2,14,0,Higher,Medium
High,15,1,4,5,0,2,1,0,2,0,2,14,3,1,1,0,3,2,24,1,Higher,Low
Low,23,66,4,1,1,0,1,0,2,2,0,10,2,2,0,1,2,0,41,2,School,Medium
High,53,20,1,2,2,1,0,0,1,1,1,16,3,1,2,1,4,2,39,1,College,High
Medium,0,69,2,6,1,1,0,1,0,2,1,7,0,0,0,1,0,0,41,2,College,Medium
Low,48,42,4,2,2,2,0,1,0,2,1,4,1,2,1,0,1,0,32,1,College,High
High,24,68,3,4,2,0,1,1,2,0,0,14,1,0,2,0,1,2,41,2,School,High
Low,9,8,2,2,0,0,1,0,1,0,2,14,5,2,2,1,4,1,5,0,Higher,Low
High,53,27,2,4,2,0,1,0,0,0,1,3,2,1,1,0,0,2,40,1,College,High
High,15,25,3,2,2,2,0,1,1,2,1,11,6,0,1,1,4,0,24,1,College,High
High,15,2,0,2,2,2,0,1,1,2,0,9,6,1,0,0,0,2,16,0,School,High
Low,57,48,1,2,0,1,0,1,0,1,2,3,5,2,2,0,3,1,44,2,Higher,Low
Medium,7,16,4,4,1,0,0,0,2,0,2,19,3,2,2,0,1,2,17,0,Higher,Medium
High,28,62,0,5,1,2,0,0,1,1,2,14,3,0,2,0,2,2,46,2,Higher,Medium
Low,38,54,3,4,2,0,1,1,2,0,1,29,6,1,1,0,3,0,28,1,College,High
Medium,27,22,1,3,2,0,1,0,0,1,0,28,3,0,0,1,2,2,24,1,School,High
High,5,33,1,0,1,0,1,0,1,0,1,29,2,1,1,0,4,2,29,1,College,Medium
High,15,68,1,0,2,1,0,0,2,2,0,19,3,1,2,0,1,2,47,2,School,High
Low,19,14,3,5,1,0,0,1,1,0,0,19,1,2,0,0,2,1,15,0,School,Medium
Low,15,46,0,0,0,0,1,1,1,1,1,14,1,2,0,0,4,2,23,1,College,Low
Low,6,2,4,2,2,2,1,0,1,1,0,23,4,0,1,0,0,2,1,0,School,High
Low,40,27,1,5,2,2,0,0,0,0,0,12,3,2,2,0,3,2,18,0,School,High
Medium,13,2,1,0,1,1,1,1,2,2,0,21,3,2,2,0,0,1,5,0,School,Medium
Medium,42,3,0,4,1,0,0,1,1,0,2,25,5,0,2,0,3,2,20,0,Higher,Medium
High,25,30,1,3,0,1,1,1,2,2,2,1,1,0,0,0,1,2,41,2,Higher,Low
Medium,25,44,1,1,2,0,1,1,0,0,2,14,1,0,2,0,2,2,35,1,Higher,High
High,13,58,3,3,1,1,1,0,1,2,2,14,0,1,1,1,0,1,39,1,Higher,Medium
High,6,44,2,0,0,0,1,1,1,0,1,18,0,1,0,1,0,0,31,1,College,Low
Low,32,36,0,5,1,2,0,1,1,0,1,27,4,1,1,0,2,0,22,1,College,Medium
Low,25,64,0,6,1,1,0,1,2,2,1,16,1,0,0,1,2,0,46,2,College,Medium
Low,56,8,0,0,0,2,0,1,2,2,2,14,4,2,1,0,4,2,18,0,Higher,Low
Low,44,16,3,4,0,0,1,1,1,0,1,3,3,1,2,1,3,1,27,1,College,Low
High,19,64,3,3,0,1,0,0,2,1,2,0,3,2,0,0,4,0,55,3,Higher,Low
Medium,2,2,4,6,0,2,1,0,2,2,2,26,1,1,1,1,0,1,12,0,Higher,Low
High,51,25,3,4,0,2,0,0,1,1,0,2,2,2,0,1,2,1,35,1,School,Low
Low,3,52,0,4,0,2,1,1,1,1,0,11,4,1,0,1,1,2,27,1,School,Low
High,25,30,4,1,2,0,0,1,1,1,2,23,2,2,2,0,0,2,29,1,Higher,High
Low,10,25,2,4,0,1,0,0,0,1,0,14,3,1,0,1,0,1,22,1,School,Low
High,1,22,1,6,2,2,1,1,1,0,0,2,5,1,1,1,3,0,22,1,School,High
Low,13,29,1,4,1,0,0,1,1,2,0,14,6,1,0,0,4,1,14,0,School,Medium
High,43,9,4,1,1,0,1,1,1,0,0,18,4,0,1,1,3,0,27,1,School,Medium
Low,29,63,2,2,0,0,1,1,1,0,1,24,3,1,2,1,0,1,39,1,College,Low
Medium,48,21,1,6,1,1,1,1,1,0,0,3,0,2,0,0,2,0,36,1,School,Medium
High,11,14,4,2,0,0,0,1,1,0,2,29,1,2,1,0,1,0,14,0,Higher,Low
Low,25,55,3,6,0,0,0,0,1,0,0,17,0,1,0,0,3,1,43,2,School,Low
Low,43,19,0,5,2,1,0,1,1,2,0,11,6,2,0,1,0,1,28,1,School,High
High,32,46,2,1,1,1,0,0,0,0,1,20,6,1,2,1,4,1,38,1,College,Medium
